sym_a,sym_b,eg_pvalue
GRTUSDT,ZILUSDT,0.0025073304448077877
VTHOUSDT,POLYXUSDT,0.00684018402761546
LINKUSDT,SUSHIUSDT,0.00970018061569856
VTHOUSDT,IMXUSDT,0.010469752228541917
AAVEUSDT,NMRUSDT,0.0169431958816285
EGLDUSDT,SANDUSDT,0.01881991051401778
FILUSDT,NMRUSDT,0.019624645339685446
DOTUSDT,EGLDUSDT,0.020768172471030345
ETHUSDT,LINKUSDT,0.022674627952252006
SHIBUSDT,NEOUSDT,0.030521792192974385
VETUSDT,HBARUSDT,0.030585244369849007
SHIBUSDT,WAXPUSDT,0.032646246594033035
ONEUSDT,GRTUSDT,0.03288235576867851
LINKUSDT,ACHUSDT,0.03604822904439781
BTCUSDT,LINKUSDT,0.03905716049933323
ADAUSDT,POLYXUSDT,0.03929247819504573
DOTUSDT,SANDUSDT,0.03976993479153924
VTHOUSDT,ZRXUSDT,0.04087332336348319
SHIBUSDT,HBARUSDT,0.04454447518833351
ETHUSDT,XLMUSDT,0.04494832416794667
YFIUSDT,ZRXUSDT,0.04649841591811312
FLOKIUSDT,ZRXUSDT,0.046674017361937166
ALGOUSDT,NEOUSDT,0.04683401849903886
XRPUSDT,LTCUSDT,0.048913652871595194
BTCUSDT,YFIUSDT,0.049556466368435956
ALGOUSDT,EGLDUSDT,0.049953685559461614
ETHUSDT,ACHUSDT,0.050699283897599055
SHIBUSDT,POLYXUSDT,0.05315984058197178
OPUSDT,SANDUSDT,0.05360054736882826
GALAUSDT,APEUSDT,0.05479846176528676
ETHUSDT,LTCUSDT,0.05559707232201983
XRPUSDT,FLOKIUSDT,0.0558928398370795
USDCUSDT,NMRUSDT,0.056015655920991746
VTHOUSDT,WAXPUSDT,0.056334921359808686
DOGEUSDT,FLOKIUSDT,0.057257899323372795
SHIBUSDT,MANAUSDT,0.05830324340532928
POLYXUSDT,IMXUSDT,0.05864964622027879
BTCUSDT,ACHUSDT,0.058754262278184984
AAVEUSDT,FILUSDT,0.058853898609708175
BTCUSDT,ZRXUSDT,0.06172295659310589
ATOMUSDT,IMXUSDT,0.06211691423900615
WAXPUSDT,EGLDUSDT,0.06382645825125122
BTCUSDT,IOTAUSDT,0.06480647912980374
BTCUSDT,XRPUSDT,0.06605642443067075
SHIBUSDT,ROSEUSDT,0.06619839590680905
SOLUSDT,NEOUSDT,0.06748722007233436
BTCUSDT,SUSHIUSDT,0.0675200118973502
BTCUSDT,USDCUSDT,0.06830318062644038
BTCUSDT,LDOUSDT,0.06847072616766686
BTCUSDT,POLYXUSDT,0.0685158036071224
BTCUSDT,AAVEUSDT,0.06903400334755136
LTCUSDT,STORJUSDT,0.07283283535215712
ADAUSDT,VTHOUSDT,0.07329234045730648
SHIBUSDT,AAVEUSDT,0.07835226803557367
BTCUSDT,STORJUSDT,0.07862857521445611
ADAUSDT,AVAXUSDT,0.07890327246624845
ETHUSDT,LDOUSDT,0.07905864292291709
ZRXUSDT,IMXUSDT,0.07956596794133419
GALAUSDT,MANAUSDT,0.08079562834213566
WAXPUSDT,NEOUSDT,0.08127346956468673
GRTUSDT,THETAUSDT,0.08238361570990715
DOGEUSDT,YFIUSDT,0.08355880318795111
SHIBUSDT,DOTUSDT,0.08428647065911782
ATOMUSDT,VTHOUSDT,0.0859321606866621
ETHUSDT,STORJUSDT,0.08698783529132759
BTCUSDT,APEUSDT,0.08941772346270704
EGLDUSDT,NEOUSDT,0.08992501886898552
BTCUSDT,LTCUSDT,0.09048281321426938
GALAUSDT,XLMUSDT,0.091777510083219
AVAXUSDT,POLYXUSDT,0.0919426604447317
ATOMUSDT,WAXPUSDT,0.09202278813109571
NEOUSDT,IMXUSDT,0.09253369033065162
VETUSDT,EGLDUSDT,0.09294281354968853
VTHOUSDT,SANDUSDT,0.09334281863351473
VTHOUSDT,EGLDUSDT,0.09373469313430555
BTCUSDT,UNIUSDT,0.09377517991718443
LINKUSDT,STORJUSDT,0.09427465794627377
WAXPUSDT,OPUSDT,0.0962757995894648
BTCUSDT,ROSEUSDT,0.09679896991044917
WAXPUSDT,IMXUSDT,0.09848960950869429
OPUSDT,NEOUSDT,0.09988849482343753
BTCUSDT,FETUSDT,0.1010317053319425
XLMUSDT,UNIUSDT,0.10160900812410883
VETUSDT,NEOUSDT,0.10187490163425861
BTCUSDT,THETAUSDT,0.10225614809583444
EGLDUSDT,POLYXUSDT,0.10261211239105822
IOTAUSDT,SUSHIUSDT,0.10269649609663145
SHIBUSDT,IMXUSDT,0.10353801406293633
SOLUSDT,OPUSDT,0.1036334181282933
HBARUSDT,NEOUSDT,0.10385123981822286
GALAUSDT,RVNUSDT,0.10389514614036044
APEUSDT,IMXUSDT,0.10429607883595932
ALGOUSDT,IMXUSDT,0.1049424499097455
ETHUSDT,SUSHIUSDT,0.10633317409903564
FLOKIUSDT,YFIUSDT,0.10731109171957731
SHIBUSDT,ZRXUSDT,0.11009113836090972
LINKUSDT,LTCUSDT,0.1105649999667217
HBARUSDT,VTHOUSDT,0.11438892673122092
SHIBUSDT,GRTUSDT,0.11448133731249643
ETHUSDT,UNIUSDT,0.11449905664989274
EGLDUSDT,ZRXUSDT,0.11463270695582517
BTCUSDT,BNBUSDT,0.11513052590776396
SHIBUSDT,NEARUSDT,0.11667078572671019
BTCUSDT,SOLUSDT,0.11859010577757839
AVAXUSDT,VTHOUSDT,0.11874716435057298
ETHUSDT,XRPUSDT,0.11881085771511252
RVNUSDT,IOTAUSDT,0.1199513429973742
ATOMUSDT,POLYXUSDT,0.12057952673059813
DOTUSDT,OPUSDT,0.12061378043177073
ETHUSDT,MANAUSDT,0.12127465440639967
XRPUSDT,SUSHIUSDT,0.12385547140117958
NEARUSDT,ROSEUSDT,0.1239098988695686
HBARUSDT,ALGOUSDT,0.12545553516431857
SHIBUSDT,ALGOUSDT,0.1254709999704985
WAXPUSDT,MANAUSDT,0.12553626179084587
SHIBUSDT,OPUSDT,0.12649304857685
SOLUSDT,NEARUSDT,0.12675223676765413
BTCUSDT,NMRUSDT,0.12715798341197881
GALAUSDT,LDOUSDT,0.12728907413260376
BTCUSDT,XLMUSDT,0.1273719531312666
SHIBUSDT,THETAUSDT,0.1279356077279184
ATOMUSDT,ZRXUSDT,0.12805938013127904
AAVEUSDT,ROSEUSDT,0.12829812886678144
HBARUSDT,EGLDUSDT,0.1290679371359465
XRPUSDT,STORJUSDT,0.12970525559413326
SHIBUSDT,SANDUSDT,0.1306892301288422
YFIUSDT,IMXUSDT,0.1309481672966456
VTHOUSDT,NEOUSDT,0.13211173082016608
SHIBUSDT,ZILUSDT,0.13238590818617452
SHIBUSDT,LDOUSDT,0.13371959901498437
YFIUSDT,FILUSDT,0.1340138765794356
BTCUSDT,OPUSDT,0.13475528987078905
SHIBUSDT,ATOMUSDT,0.1363926681895622
RVNUSDT,APEUSDT,0.1366939554252849
ATOMUSDT,EGLDUSDT,0.13671371961182804
XLMUSDT,ONEUSDT,0.13765724808660923
ETHUSDT,GALAUSDT,0.13900986015232525
AAVEUSDT,OPUSDT,0.1391303978761298
APEUSDT,SUSHIUSDT,0.14054068763141486
WAXPUSDT,POLYXUSDT,0.14082308953369832
ETHUSDT,ONEUSDT,0.14108370639699253
XLMUSDT,STORJUSDT,0.1414641652066405
GALAUSDT,STORJUSDT,0.14212564999760818
ETHUSDT,THETAUSDT,0.14230546241007813
SHIBUSDT,VTHOUSDT,0.14242721448484852
EGLDUSDT,IMXUSDT,0.14295470102458613
ONEUSDT,THETAUSDT,0.14300473360131716
BTCUSDT,ATOMUSDT,0.14401598674728938
GALAUSDT,IOTAUSDT,0.14619420877453992
YFIUSDT,OPUSDT,0.1465993385574988
BTCUSDT,ONEUSDT,0.1478713718626255
AAVEUSDT,UNIUSDT,0.14790852497964535
WAXPUSDT,ZRXUSDT,0.14803601613501816
GALAUSDT,ZILUSDT,0.14895140789654593
VTHOUSDT,ALGOUSDT,0.1489801262941604
GALAUSDT,WAXPUSDT,0.14949580594877293
BTCUSDT,ZILUSDT,0.14969930700125894
SHIBUSDT,YFIUSDT,0.14994295848671918
APEUSDT,NMRUSDT,0.15156605806336376
GRTUSDT,OPUSDT,0.15245006259207805
GALAUSDT,LTCUSDT,0.15294686212819553
DOGEUSDT,ZRXUSDT,0.1530646588610723
UNIUSDT,LDOUSDT,0.15447551260948506
FETUSDT,ZRXUSDT,0.15469732629727878
ALGOUSDT,SANDUSDT,0.15516567957458677
BTCUSDT,NEARUSDT,0.15565100513884456
WAXPUSDT,SANDUSDT,0.15669002805178206
ZRXUSDT,NEOUSDT,0.15682311899464074
XRPUSDT,FETUSDT,0.15771665659204598
GALAUSDT,GRTUSDT,0.1585159260669396
GALAUSDT,POLYXUSDT,0.15901664346588362
ETHUSDT,AAVEUSDT,0.15936829499373395
BTCUSDT,BCHUSDT,0.15970084125490913
ONEUSDT,OPUSDT,0.16034188344711092
YFIUSDT,EGLDUSDT,0.160746002417486
BTCUSDT,MANAUSDT,0.16132850705891733
YFIUSDT,NMRUSDT,0.16188408658905235
SHIBUSDT,UNIUSDT,0.16234328944410836
ETHUSDT,ZILUSDT,0.16284258151488185
BTCUSDT,IMXUSDT,0.16293604232318137
ONEUSDT,ZILUSDT,0.16305821730414932
GALAUSDT,AAVEUSDT,0.1631652140588915
GALAUSDT,YFIUSDT,0.1643488682733602
GRTUSDT,MANAUSDT,0.16479272482193497
XRPUSDT,DOGEUSDT,0.16484966074303875
DOTUSDT,WAXPUSDT,0.16665431959554117
ETHUSDT,NMRUSDT,0.1684099506711294
GALAUSDT,ACHUSDT,0.16895038795479578
AAVEUSDT,THETAUSDT,0.16960265993720652
GALAUSDT,SUSHIUSDT,0.17046385517772072
SHIBUSDT,SUSHIUSDT,0.17354065645623074
YFIUSDT,NEOUSDT,0.17442430079378884
SHIBUSDT,IOTAUSDT,0.1749010023535944
BTCUSDT,NEOUSDT,0.1749375654801285
BTCUSDT,GRTUSDT,0.1749935460137721
DOTUSDT,NEOUSDT,0.17534806815296733
YFIUSDT,POLYXUSDT,0.17543950678823794
LTCUSDT,SUSHIUSDT,0.17550124505186154
XLMUSDT,GRTUSDT,0.17617590494875657
HBARUSDT,ZRXUSDT,0.17660845061458108
GALAUSDT,ZRXUSDT,0.17749091093550345
BTCUSDT,VTHOUSDT,0.17749946353728602
VETUSDT,ZRXUSDT,0.1779155218531071
DOTUSDT,GRTUSDT,0.1781884940792689
RVNUSDT,POLYXUSDT,0.17858799241408713
BTCUSDT,RVNUSDT,0.17895797664944652
ALGOUSDT,WAXPUSDT,0.17962836872282162
ALGOUSDT,POLYXUSDT,0.17982142175868265
WAXPUSDT,GRTUSDT,0.1800062132240568
AVAXUSDT,IMXUSDT,0.18177294507623737
BTCUSDT,AVAXUSDT,0.18287077942998392
XLMUSDT,LDOUSDT,0.18436311520531856
ETHUSDT,ZRXUSDT,0.18725173706193227
WAXPUSDT,ZILUSDT,0.1882096144087212
APEUSDT,SANDUSDT,0.18846979187516844
XLMUSDT,THETAUSDT,0.1900294556104728
ETHUSDT,ROSEUSDT,0.1901312749856952
BTCUSDT,EGLDUSDT,0.19059647463711477
SHIBUSDT,ONEUSDT,0.19095331740558164
RVNUSDT,SUSHIUSDT,0.19103713114653975
GALAUSDT,UNIUSDT,0.19124683293495048
NEARUSDT,OPUSDT,0.19183147125653466
EGLDUSDT,MANAUSDT,0.1919790396000266
GALAUSDT,THETAUSDT,0.19327840322031542
AAVEUSDT,SANDUSDT,0.19345804510669812
AVAXUSDT,ATOMUSDT,0.19393380053371118
YFIUSDT,SANDUSDT,0.19410915334312523
ETHUSDT,RVNUSDT,0.19440364777122737
ZILUSDT,MANAUSDT,0.1944946082355461
ETHUSDT,SOLUSDT,0.19464448493386283
ETHUSDT,IOTAUSDT,0.1957340705716536
VTHOUSDT,MANAUSDT,0.19610981597248833
DOTUSDT,ALGOUSDT,0.19622515073909924
DOGEUSDT,FETUSDT,0.19750253457679756
GRTUSDT,NEOUSDT,0.1982255169344737
GRTUSDT,SANDUSDT,0.1995188002148391
ETHUSDT,NEARUSDT,0.1995984558532095
ETHUSDT,USDCUSDT,0.20195178652797108
BTCUSDT,ETHUSDT,0.2019627897000777
GALAUSDT,ROSEUSDT,0.20241831687792589
BTCUSDT,GALAUSDT,0.20396160386587397
WAXPUSDT,ROSEUSDT,0.2042730598531879
VETUSDT,ALGOUSDT,0.20458741064947894
FLOKIUSDT,ROSEUSDT,0.2053038435884833
BTCUSDT,FILUSDT,0.20545457739193956
HBARUSDT,POLYXUSDT,0.20624469140630147
XRPUSDT,VTHOUSDT,0.20636718565961465
BCHUSDT,STORJUSDT,0.2064520991663738
GALAUSDT,ATOMUSDT,0.2067018867966694
FLOKIUSDT,IMXUSDT,0.20790310387402633
ACHUSDT,SUSHIUSDT,0.20938898174730391
ETHUSDT,YFIUSDT,0.20971942721245196
BTCUSDT,DOTUSDT,0.20987458924351526
ETHUSDT,GRTUSDT,0.21009948854184002
EGLDUSDT,THETAUSDT,0.2106070503889395
SHIBUSDT,LTCUSDT,0.21135691087416075
ADAUSDT,EGLDUSDT,0.21136816439355527
DOGEUSDT,AAVEUSDT,0.21185530013605192
DOGEUSDT,ROSEUSDT,0.21278695679864085
AVAXUSDT,FLOKIUSDT,0.21409865867946754
ATOMUSDT,HBARUSDT,0.2144797882767876
BTCUSDT,FLOKIUSDT,0.2145645254100212
BTCUSDT,VETUSDT,0.21595923575756992
ETHUSDT,BNBUSDT,0.21598246209319488
BTCUSDT,ALGOUSDT,0.2168460714481013
APEUSDT,NEOUSDT,0.22026940424543884
DOGEUSDT,NMRUSDT,0.2209698072916208
SHIBUSDT,STORJUSDT,0.22130843468319072
BNBUSDT,SANDUSDT,0.22135017455816303
SHIBUSDT,EGLDUSDT,0.22238999000956117
XRPUSDT,GALAUSDT,0.22251123506686366
XRPUSDT,YFIUSDT,0.22371973935722222
SANDUSDT,NEOUSDT,0.22376875131932977
LINKUSDT,XRPUSDT,0.22445444278953203
ETHUSDT,FETUSDT,0.2248639365496342
SHIBUSDT,NMRUSDT,0.2264574931686238
XLMUSDT,OPUSDT,0.2288794296149544
AAVEUSDT,GRTUSDT,0.2295603260694299
ETHUSDT,POLYXUSDT,0.22971207554075446
LINKUSDT,POLYXUSDT,0.23135502993173857
AAVEUSDT,NEOUSDT,0.2315483262255607
SHIBUSDT,ACHUSDT,0.23157351265157738
GALAUSDT,OPUSDT,0.23334235727259584
ALGOUSDT,ZRXUSDT,0.2354114544208698
XRPUSDT,ZRXUSDT,0.2366319125984187
SHIBUSDT,FLOKIUSDT,0.2370566239133457
DOGEUSDT,APEUSDT,0.2389036711173702
GALAUSDT,EGLDUSDT,0.2391768176310819
GALAUSDT,DOTUSDT,0.24014655944283864
ETHUSDT,SANDUSDT,0.24049948420181883
ROSEUSDT,OPUSDT,0.2405120367683341
SHIBUSDT,BCHUSDT,0.2410945539032876
XRPUSDT,ACHUSDT,0.24157432345474833
BTCUSDT,SANDUSDT,0.24341993016796643
XLMUSDT,SANDUSDT,0.24424258514393188
BNBUSDT,ROSEUSDT,0.24640645291718993
ETHUSDT,APEUSDT,0.24695024703529883
XLMUSDT,FILUSDT,0.24745877366979335
VETUSDT,POLYXUSDT,0.24799353733720703
ETHUSDT,DOTUSDT,0.24855472801830492
XLMUSDT,NEARUSDT,0.25112022069821555
ETHUSDT,VTHOUSDT,0.251370044837226
XRPUSDT,IMXUSDT,0.2515065429735551
AVAXUSDT,FETUSDT,0.2518219662001723
GRTUSDT,NMRUSDT,0.2519709797345208
GRTUSDT,EGLDUSDT,0.25233155191640166
VTHOUSDT,FLOKIUSDT,0.25283546857561273
ADAUSDT,ZRXUSDT,0.25358086722107037
XLMUSDT,NMRUSDT,0.25377366170572274
ROSEUSDT,NEOUSDT,0.2547511900448478
LTCUSDT,XLMUSDT,0.2548123060123912
BNBUSDT,FILUSDT,0.25485697275657504
ETHUSDT,OPUSDT,0.25552034421009945
BTCUSDT,WAXPUSDT,0.25644500700045986
ZILUSDT,NEOUSDT,0.2574611888949291
ADAUSDT,IMXUSDT,0.2591036514874674
BCHUSDT,LDOUSDT,0.2600547245749387
XRPUSDT,RVNUSDT,0.2612545497357667
VTHOUSDT,YFIUSDT,0.2612968137946942
FLOKIUSDT,OPUSDT,0.26201020099330147
DOGEUSDT,IOTAUSDT,0.2623677419712621
BTCUSDT,HBARUSDT,0.2625155230990092
ETHUSDT,BCHUSDT,0.26254613292829104
ETHUSDT,EGLDUSDT,0.2632104535954245
ZRXUSDT,SANDUSDT,0.2641441786581722
NEARUSDT,NEOUSDT,0.264368072428226
ETHUSDT,NEOUSDT,0.26445698352443126
GALAUSDT,VTHOUSDT,0.2658759376748482
YFIUSDT,THETAUSDT,0.2659858479387319
GALAUSDT,SHIBUSDT,0.2661976454005265
ETHUSDT,AVAXUSDT,0.26700057128851573
GALAUSDT,IMXUSDT,0.26730209955037104
LINKUSDT,VTHOUSDT,0.26745937037415246
ACHUSDT,LDOUSDT,0.267509328101437
LINKUSDT,FLOKIUSDT,0.26810692594080276
AAVEUSDT,EGLDUSDT,0.2681598144325174
VETUSDT,WAXPUSDT,0.26905787719263
FLOKIUSDT,POLYXUSDT,0.2692207246101068
AVAXUSDT,ZRXUSDT,0.2694805687786995
WAXPUSDT,NMRUSDT,0.2699378188785326
IOTAUSDT,NMRUSDT,0.2699640857719826
XRPUSDT,AVAXUSDT,0.2706940745412041
XRPUSDT,VETUSDT,0.27125239403984647
FLOKIUSDT,NEOUSDT,0.271859874974955
AAVEUSDT,LDOUSDT,0.2720640331170242
LTCUSDT,LDOUSDT,0.27300460841297935
SHIBUSDT,XLMUSDT,0.2733987892209897
ZRXUSDT,POLYXUSDT,0.2735839119353796
ETHUSDT,FILUSDT,0.27510423225171354
ETHUSDT,VETUSDT,0.275321342127017
GALAUSDT,ALGOUSDT,0.2762961931114979
XLMUSDT,MANAUSDT,0.2774495428414885
GALAUSDT,NEARUSDT,0.2782990877187784
GALAUSDT,BCHUSDT,0.27844053280714187
AVAXUSDT,WAXPUSDT,0.27898112591916424
ETHUSDT,IMXUSDT,0.2796629793665879
FLOKIUSDT,FILUSDT,0.279837761203403
GALAUSDT,NEOUSDT,0.2799835664354517
OPUSDT,THETAUSDT,0.28063422169190605
BTCUSDT,ADAUSDT,0.28165370772326637
POLYXUSDT,NEOUSDT,0.2821207591338986
WAXPUSDT,LDOUSDT,0.2830888847516242
ETHUSDT,ATOMUSDT,0.28364618711777323
LTCUSDT,ACHUSDT,0.28386363760750355
IOTAUSDT,IMXUSDT,0.2859647826808033
LINKUSDT,IOTAUSDT,0.28640355688290353
HBARUSDT,IMXUSDT,0.286519574136438
MANAUSDT,NEOUSDT,0.28770609754094123
GALAUSDT,ONEUSDT,0.2878339060834781
NEARUSDT,GRTUSDT,0.28824087850002045
XLMUSDT,ACHUSDT,0.2885887295735904
OPUSDT,EGLDUSDT,0.2893228518039872
BNBUSDT,OPUSDT,0.2899819868251418
EGLDUSDT,ZILUSDT,0.2901731646329273
XLMUSDT,EGLDUSDT,0.29025788394305513
FLOKIUSDT,EGLDUSDT,0.2902642188168766
SHIBUSDT,APEUSDT,0.2905766577215561
AAVEUSDT,ZILUSDT,0.2917685866059454
AVAXUSDT,NEOUSDT,0.29214029240857264
FLOKIUSDT,NMRUSDT,0.2942944964717127
WAXPUSDT,IOTAUSDT,0.2946670225241329
LINKUSDT,FETUSDT,0.29533216691180536
POLYXUSDT,SANDUSDT,0.2954179627526903
XLMUSDT,ROSEUSDT,0.2992876666698042
WAXPUSDT,SUSHIUSDT,0.3000246037582812
SOLUSDT,ROSEUSDT,0.30077925742564693
ADAUSDT,AAVEUSDT,0.30094001357976397
LINKUSDT,ADAUSDT,0.30099770967399586
GALAUSDT,NMRUSDT,0.30156616984907775
DOGEUSDT,POLYXUSDT,0.3021849931914714
XRPUSDT,HBARUSDT,0.30308691800981724
DOGEUSDT,STORJUSDT,0.3033637012373024
STORJUSDT,SUSHIUSDT,0.3039649073511433
DOGEUSDT,LDOUSDT,0.3039752312756526
WAXPUSDT,YFIUSDT,0.30706896950173823
DOTUSDT,MANAUSDT,0.3092553255392714
YFIUSDT,ZILUSDT,0.30967092118259176
LINKUSDT,GALAUSDT,0.310643110609102
YFIUSDT,STORJUSDT,0.31146563526921833
WAXPUSDT,UNIUSDT,0.3125591138890003
ZILUSDT,LDOUSDT,0.3126382165108294
DOGEUSDT,NEARUSDT,0.3145404951624065
DOGEUSDT,OPUSDT,0.31455979092606307
